Collector (PI),field_number,Genus,Species,subspecies,needs_confirmation,order,sex,mass (g),date,Country,Departament,Municipio,Locality,vereda,reserva,Latitude_Original,Longitude_Original,elevation,Ectoparasite_sample,Ectoparsite Sampling Method,Ecotparasite Box Location (Cold Storage),ectoparasites_box,lice_total,Ecomorph Notes,lice ages,feather_mites_total,ticks_total,flies_total,fleas_total,others,Column
GAM,JEA 749,Tangara,heinei,,,Passeriformes,M,,2009-03-26T07:00:00Z,Colombia,Santander,Floridablanca,"Floridablanca, vda. La Judia, Reserva Maklenkes",vda. La Judia,Reserva Maklenkes,7°5'3.6'',073°1'14.2'',1700,YES,,Universidad Icesi,"E1,C9",0,,0,0,0,1,,0,
GAM,JEA 786,Mecocerculus,leucophrys,setophagoides,,Passeriformes,F,,2009-07-27T07:00:00Z,Colombia,Santander,San Andres,"San Andres, vda. San Isidro, Fca. La Paterna",vda. San Isidro,Fca. La Paterna,6°44'23.71'',072°48'8.21'',2700,YES,,Universidad Icesi,"E1,E10",0,,0,3,0,0,,0,
GAM,JEA 787,Scytalopus,griseicollis,,,Passeriformes,M,,2009-07-28T07:00:00Z,Colombia,Santander,San Andres,"San Andres, vda. San Isidro, arriba Fca. La Paterna",vda. San Isidro,arriba Fca. La Paterna,6°44'23.71'',072°48'8.21'',2700,YES,,Universidad Icesi,"E1,D3",0,,0,0,3,0,,0,
GAM,JEA 789,Scytalopus,griseicollis,,,Passeriformes,F,,2009-07-28T07:00:00Z,Colombia,Santander,San Andres,"San Andres, vda. San Isidro, La Corcova",vda. San Isidro,La Corcova,6°44'23.71'',072°48'8.21'',2700,YES,,Universidad Icesi,"E1,A1",0,,0,>5,0,0,,0,
GAM,JEA 789,Scytalopus,griseicollis,,,Passeriformes,F,,2009-07-28T07:00:00Z,Colombia,Santander,San Andres,"San Andres, vda. San Isidro, La Corcova",vda. San Isidro,La Corcova,6°44'23.71'',072°48'8.21'',2700,YES,,Universidad Icesi,"P1,E8;E1,D2",5,,ba-ju,0,some,0,,0,
GAM,JEA 790,Tangara,vassorii,vassorii,,Passeriformes,F,,2009-07-29T07:00:00Z,Colombia,Santander,San Andres,"San Andres, vda. San Luis, Fca. El Gavilan",vda. San Luis,Fca. El Gavilan,Buscar,Buscar,2600,YES,,Universidad Icesi,"E1,D1",0,,0,4,0,0,,0,
GAM,JEA 791,Tangara,vassorii,vassorii,,Passeriformes,M,,2009-07-29T07:00:00Z,Colombia,Santander,San Andres,"San Andres, vda. San Luis, Fca. El Gavilan",vda. San Luis,Fca. El Gavilan,Buscar,Buscar,2600,YES,,Universidad Icesi,"E1,E8",0,,0,10,0,0,,0,
GAM,JEA 792,Colaptes,rivolii,,,Piciformes,F,,2009-07-29T07:00:00Z,Colombia,Santander,San Andres,"San Andres, vda. San Luis, Fca. El Gavilan",vda. San Luis,Fca. El Gavilan,Buscar,Buscar,2600,YES,,Universidad Icesi,"E1,C7",0,,0,2,0,0,,0,
GAM,JEA 793,Caprimulgus,longirostris,,,Caprimulgiformes,U,,2009-07-30T07:00:00Z,Colombia,Santander,San Andres,"San Andres, arriba Fca. Salabuga, Queb. Salabuga",arriba Fca. Salabuga,Queb. Salabuga,Buscar,Buscar,2700,YES,,Universidad Icesi,"P1,C6",7,,ju-ad,0,0,0,,0,
GAM,JEA 794,Hemispingus,superciliaris,,,Passeriformes,F,,2009-07-30T07:00:00Z,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Pozo el Indio",vda. Potrero de Rodriguez,"La Pica, Pozo el Indio",6°43'',072°47'',2950,NO,,,,,,,,,,,,
GAM,JEA 797,Troglodytes,aedon,,,Passeriformes,U,,2009-07-31T07:00:00Z,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"P1,D3",10,,ju-ad,0,0,0,,0,
GAM,JEA 799,Henicorhina,leucophrys,,,Passeriformes,U,,2009-07-31T07:00:00Z,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"E1,F1",0,,0,0,0,0,,10 HFM,
GAM,JEA 800,Thraupis,cyanocephalus,,,Passeriformes,U,,2009-07-31T07:00:00Z,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"P1,F10",3,,imm,0,0,0,,0,
GAM,JEA 801,Diglossa,albilatera,,,Passeriformes,U,,2009-08-01T07:00:00Z,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"P1,F9",2,,ju-ad,0,0,0,,0,
GAM,JEA 807,Atlapetes,schistaceus,,,Passeriformes,U,,2009-08-02T07:00:00Z,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"E1,F3",0,,0,5,0,0,,0,
GAM,JEA 810,Heliangelus,amethysticollis,,,Apodiformes,U,,2009-08-02T07:00:00Z,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"E1,E9",0,,0,5,0,0,,0,
GAM,JEA 811,Scytalopus,griseicollis,,,Passeriformes,U,,2009-08-02T07:00:00Z,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,NO,,,,,,,,,,,,
GAM,JEA 814,Diglossa,albilatera,,,Passeriformes,U,,2009-08-03T07:00:00Z,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"E1,D7",0,,0,3,0,0,,0,
GAM,JEA 818,Troglodytes,aedon,,,Passeriformes,U,,2009-08-03T07:00:00Z,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"P1,E3",8,,ba-ju-ad,0,0,0,,0,
GAM,JEA 823,Coeligena,helianthea,,,Apodiformes,U,,2009-08-04T07:00:00Z,Colombia,Santander,Molagavita,"Molagavita, vda. Potrero de Rodriguez, La Pica, Fca. La Rinconada",vda. Potrero de Rodriguez,"La Pica, Fca. La Rinconada",6°43'',072°47'',2880,YES,,Universidad Icesi,"E1,F2",0,,0,2,0,0,,HFM,
GAM,JMBO 050,Diglossa,caerulescens,,,Passeriformes,U,,2009-08-10T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,A10;E1,A8",19,,ba-ju-ad,>30,0,0,,0,
GAM,JEA 832,Diglossa,caerulescens,,,Passeriformes,U,,2009-08-11T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,E1",0,,0,>5,0,0,,0,
GAM,JEA 833,Diglossa,caerulescens,,,Passeriformes,U,,2009-08-11T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,E6",0,,0,>10,0,0,,0,
GAM,JEA 834,Boissonneaua,flavescens,,,Apodiformes,U,,2009-08-11T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,C10",0,,0,Many,0,0,,0,
GAM,JPL 403,Diglossa,caerulescens,,,Passeriformes,U,,2009-08-11T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,F3",4,,ba-ju,0,0,0,,0,
GAM,JEA 835,Chlorospingus,semifuscus,,,Passeriformes,U,,2009-08-12T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,B1",33,,ba-ju-ad,0,0,0,,0,
GAM,JEA 836,Chlorospingus,semifuscus,,,Passeriformes,U,,2009-08-12T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,B2",8,,ba-ju-ad,0,0,0,,0,
GAM,JEA 837,Margarornis,stellatus,,,Passeriformes,U,,2009-08-12T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,D8",0,,0,>5,1,0,1,,
GAM,JEA 838,Chlorospingus,semifuscus,,,Passeriformes,U,,2009-08-12T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,F6",5,,imm,0,0,0,,0,
GAM,JEA 840,Anisognathus,somptuosus,,,Passeriformes,U,,2009-08-12T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,G4",9,,ba-ju,3,0,0,,0,
GAM,JEA 842,Pipreola,riefferii,,,Passeriformes,U,,2009-08-12T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,D2",3,,ju,0,0,0,,0,
GAM,JEA 843,Chlorornis,riefferii,,,Passeriformes,U,,2009-08-12T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,E10",2,,ba-ju,2,0,0,,0,
GAM,JMBO 054,Coeligena,wilsoni,,,Apodiformes,U,,2009-08-12T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,F2",0,,0,5,0,0,,10 HFM,
GAM,JPL 406,Coeligena,torquata,,,Apodiformes,U,,2009-08-12T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,E4",0,,0,5,0,0,,4 HFM,
GAM,JPL 407,Coeligena,torquata,,,Apodiformes,U,,2009-08-12T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,C5",0,,0,Many,0,0,,0,
GAM,JMBO 056,Trogon,personatus,,,Trogoniformes,U,,2009-08-12T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,NO,,,,,,,,,,,,
GAM,JEA 845,Colaptes,rubiginosus,,,Piciformes,U,,2009-08-13T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,B5",24,,ba-ju-ad,0,0,0,,0,
GAM,JEA 846,Scytalopus,vicinior,,,Passeriformes,U,,2009-08-13T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"E1,D5",0,,0,0,2,0,,0,
GAM,JEA 847,Chlorospingus,semifuscus,,,Passeriformes,U,,2009-08-13T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Mirabilis-Swarovski",vda. Veinte de Julio,Reserva Mirabilis-Swarovski,2°31'19.62'',076°58'58.68'',2192,YES,,Universidad Icesi,"P1,B10",3,,ju-ad,0,0,0,,0,
GAM,JEA 854,Atlapetes,gutturalis,,,Passeriformes,U,,2009-08-15T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"E1,C8",0,,0,Many,0,0,,0,
GAM,JEA 855,Euphonia,xanthogaster,,,Passeriformes,U,,2009-08-15T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,E1",2,,imm,1,0,0,,0,
GAM,JEA 856,Tangara,rufigula,,,Passeriformes,U,,2009-08-15T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,C9",10,,ju-ad,0,0,0,,0,
GAM,JEA 857,Mionectes,striaticollis,,,Passeriformes,U,,2009-08-15T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,F7",4,,ba-ju,0,0,0,,0,
GAM,JMBO 059,Chlorochrysa,phoenicotis,,,Passeriformes,U,,2009-08-15T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"E1,C2",0,,0,0,1,0,,0,
GAM,JEA 859,Masius,chrysopterus,,,Passeriformes,U,,2009-08-15T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,NO,,,,,,,,,,,,
GAM,GCC 001,Ramphocelus,flammigerus,,,Passeriformes,U,,2009-08-16T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,E7",10,,ju-ad,0,0,0,,0,
GAM,JMBO 065,Myadestes,ralloides,,,Passeriformes,U,,2009-08-16T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,F8;E1,D9",13,,ju-ad,Many,0,0,,0,
GAM,JEA 864,Tangara,rufigula,,,Passeriformes,U,,2009-08-17T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,C4",6,,ju-ad,0,0,0,,0,
GAM,JEA 865,Tangara,gyrola,,,Passeriformes,U,,2009-08-17T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,F2",2,,ad,0,0,0,,0,
GAM,JEA 866,Mionectes,striaticollis,,,Passeriformes,U,,2009-08-17T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,C5",5,,ju-ad,0,0,0,,0,
GAM,JEA 867,Syndactyla,subalaris,,,Passeriformes,U,,2009-08-17T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,D1",8,,ju-ad,0,0,0,,0,
GAM,JEA 868,Myiobius,villosus,,,Passeriformes,U,,2009-08-17T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"E1,B8",0,,0,3,0,0,,0,
GAM,JEA 869,Pseudotriccus,pelzelni,,,Passeriformes,U,,2009-08-17T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,B8",,,,,,,,,
GAM,JEA 870,Eubucco,bourcierii,,,Piciformes,U,,2009-08-18T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,C3",12,,ba-ju-ad,0,0,0,,0,
GAM,JEA 872,Premnoplex,brunnescens,,,Passeriformes,U,,2009-08-18T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,B9;E1,B3",7,,ju-ad,0,>10,0,1,,
GAM,JEA 873,Anabacerthia,variegaticeps,,,Passeriformes,U,,2009-08-18T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,G2;E1,E7",1,,ad,>5,0,0,,0,
GAM,JEA 874,Chlorochrysa,phoenicotis,,,Passeriformes,U,,2009-08-18T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,E2;E1,C3",1,,imm,0,0,0,1,,
GAM,JEA 875,Arremon,brunneinucha,,,Passeriformes,U,,2009-08-18T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,B3; E1,A9",25,,ba-ju-ad,>5,0,0,1,,
GAM,JEA 876,Entomodestes,coracinus,,,Passeriformes,U,,2009-08-18T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,E9",3,,ju-ad,0,0,0,,0,
GAM,JEA 877,Tangara,icterocephala,,,Passeriformes,U,,2009-08-18T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,B7;E1,B1",16,,ba-ju-ad (2 morphos),few,0,0,1,,
GAM,JEA 878,Tangara,icterocephala,,,Passeriformes,U,,2009-08-18T07:00:00Z,Colombia,Cauca,El Tambo,"El Tambo, vda. Veinte de Julio, Reserva Natural Tambito",vda. Veinte de Julio,Reserva Natural Tambito,2°30'6.77'',077°0'2.13'',1742,YES,,Universidad Icesi,"P1,B6;E1,A10",18,,ba-ju-ad,>5,0,0,,0,
GAM,JEA 880,Phaethornis,yaruqui,,,Apodiformes,U,,2009-08-24T07:00:00Z,Colombia,Narino,Barbacoas,"Barbacoas, Reserva El Pangan, sendero Sabaleta",Junin,"Reserva el Pangan, sendero Sabaleta",1°21'19.65'',078°04'37.51'',771,YES,,Universidad Icesi,"E1,A2",0,,0,>5,0,0,,0,
GAM,JEA 881,Glyphorynchus,spirurus,,,Passeriformes,U,,2009-08-24T07:00:00Z,Colombia,Narino,Barbacoas,"Barbacoas, Reserva El Pangan, sendero Sabaleta",Junin,"Reserva el Pangan, sendero Sabaleta",1°21'19.65'',078°04'37.51'',771,YES,,Universidad Icesi,"P1,A3",1,,ad,0,0,0,,0,
GAM,JEA 882,Myrmeciza,nigricauda,,,Passeriformes,U,,2009-08-24T07:00:00Z,Colombia,Narino,Barbacoas,"Barbacoas, Reserva El Pangan, sendero Sabaleta",Junin,"Reserva el Pangan, sendero Sabaleta",1°21'19.65'',078°04'37.51'',771,YES,,Universidad Icesi,"E1,A4",0,,0,0,1,0,,1 Coleoptero,
GAM,JEA 883,Grallaria,alleni,,,Passeriformes,U,,2009-08-24T07:00:00Z,Colombia,Narino,Barbacoas,"Barbacoas, Reserva El Pangan, sendero Sabaleta",Junin,"Reserva el Pangan, sendero Sabaleta",1°21'19.65'',078°04'37.51'',771,YES,,Universidad Icesi,"P1,A5",30,,ad-juv-bab,0,0,0,,0,
